Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Final energy demand|PATHWAYS - High SLCPs Plus|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Diesel,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Gasoline,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Hydrogen,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Kerosene,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|LPG,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Waste Heat,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Wood,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Total,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|TCU,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 In-State Biofuels|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|TCU,,EJ,
